method,n_wells,seed,energy,production,interference,runtime,selected_wells
Random,6,0,-2.1154715621809865,2.480630885747106,0.3651593235661198,0.02255229977890849,"2,3,4,5"
SA,6,0,-2.1154715621809865,2.480630885747106,0.3651593235661198,0.03594260010868311,"2,3,4,5"
Exact,6,0,-2.1154715621809865,2.480630885747106,0.3651593235661198,0.00032849982380867004,"2,3,4,5"
QAOA,6,0,-2.071628054240883,2.4788596519690853,0.40723159772820255,0.0026406999677419662,"0,2,4,5"
Random,6,1,-2.05810847249189,2.537053962788021,0.47894549029613104,0.01244870014488697,"0,1,2,3,5"
SA,6,1,-2.05810847249189,2.537053962788021,0.47894549029613104,0.022636200301349163,"0,1,2,3,5"
Exact,6,1,-2.05810847249189,2.537053962788021,0.47894549029613104,0.0002953996881842613,"0,1,2,3,5"
QAOA,6,1,-2.0175800339785614,2.2681482446169103,0.2505682106383488,0.0011452999897301197,"0,1,2,5"
Random,6,2,-1.5909613968372696,2.2589024298317977,0.6679410329945277,0.015232899691909552,"0,1,2,4,5"
SA,6,2,-1.5909613968372696,2.2589024298317977,0.6679410329945277,0.023644499946385622,"0,1,2,4,5"
Exact,6,2,-1.5909613968372696,2.2589024298317977,0.6679410329945277,0.0003770003095269203,"0,1,2,4,5"
QAOA,6,2,-1.5909613968372696,2.2589024298317977,0.6679410329945277,0.0013227001763880253,"0,1,2,4,5"
Random,6,3,-2.3363363954983103,2.815549258077482,0.4792128625791718,0.015301600098609924,"1,2,3,4,5"
SA,6,3,-2.3363363954983103,2.815549258077482,0.4792128625791718,0.02460449980571866,"1,2,3,4,5"
Exact,6,3,-2.3363363954983103,2.815549258077482,0.4792128625791718,0.0002950001507997513,"1,2,3,4,5"
QAOA,6,3,-2.3363363954983103,2.815549258077482,0.4792128625791718,0.001157199963927269,"1,2,3,4,5"
Random,6,4,-2.5329517373668495,3.08547361022986,0.5525218728630107,0.016573000233620405,"0,1,2,3,4,5"
SA,6,4,-2.5329517373668495,3.08547361022986,0.5525218728630107,0.02376599982380867,"0,1,2,3,4,5"
Exact,6,4,-2.5329517373668495,3.08547361022986,0.5525218728630107,0.0002934001386165619,"0,1,2,3,4,5"
QAOA,6,4,-2.491761382047717,2.815464542081518,0.3237031600338013,0.0011614998802542686,"0,1,2,4,5"
Random,8,0,-2.1429720374701793,2.8970612256811568,0.7540891882109777,0.013258000370115042,"1,3,4,5,6,7"
SA,8,0,-2.1429720374701793,2.8970612256811568,0.7540891882109777,0.019683100283145905,"1,3,4,5,6,7"
Exact,8,0,-2.1429720374701793,2.8970612256811568,0.7540891882109777,0.0010527996346354485,"1,3,4,5,6,7"
QAOA,8,0,-2.1429720374701793,2.8970612256811568,0.7540891882109777,0.0013001998886466026,"1,3,4,5,6,7"
Random,8,1,-1.9209451893552234,2.547959673227838,0.6270144838726145,0.01232309965416789,"0,1,2,5,6,7"
SA,8,1,-1.9209451893552234,2.547959673227838,0.6270144838726145,0.02356169978156686,"0,1,2,5,6,7"
Exact,8,1,-1.9209451893552234,2.547959673227838,0.6270144838726145,0.001371299847960472,"0,1,2,5,6,7"
QAOA,8,1,-1.9035620440333028,2.5912398559077814,0.6876778118744785,0.0013238000683486462,"0,1,2,4,5,7"
Random,8,2,-2.1760566071072223,2.8895700299569897,0.7135134228497677,0.0158328996039927,"0,2,3,4,6"
SA,8,2,-2.1760566071072223,2.8895700299569897,0.7135134228497677,0.022231999784708023,"0,2,3,4,6"
Exact,8,2,-2.1760566071072223,2.8895700299569897,0.7135134228497677,0.0011279997415840626,"0,2,3,4,6"
QAOA,8,2,-2.079726796919985,2.4644863837439344,0.3847595868239493,0.001068000216037035,"2,3,4,6"
