method,n_wells,energy_mean,energy_std,production_mean,production_std,interference_mean,interference_std,runtime_mean,runtime_std
Exact,6,-2.126765912875061,0.3538483421923426,2.6355220293348536,0.3203106997353896,0.5087561164597922,0.11139658353960988,0.00031786002218723295,3.618046846308223e-05
Exact,8,-2.2997080250688753,0.3184001718735195,3.075395654673519,0.45222157392473944,0.7756876296046434,0.15459869267943488,0.0011578397825360298,0.00012355167693249873
Exact,10,-2.796528943705669,0.4255282864842611,3.909126634874837,0.8021682770013528,1.112597691169168,0.4149300772877764,0.004812020063400269,0.0002903390551494739
QAOA,6,-2.1016534525205484,0.34497699937455245,2.527384825315359,0.2773399346588437,0.42573137279481044,0.16043684154285523,0.0014854799956083298,0.0006499007201693353
QAOA,8,-2.260230893371808,0.3147999128026246,2.863623452630383,0.3507634492392808,0.6033925592585752,0.15576193386822085,0.0012201600708067416,0.0001530845761010899
QAOA,10,-2.732853518971658,0.46095978043160446,3.789068494120779,0.9169225530209304,1.0562149751491205,0.4991083765555667,0.0011982199735939502,9.433009402737786e-05
Random,6,-2.126765912875061,0.3538483421923426,2.6355220293348536,0.3203106997353896,0.5087561164597922,0.11139658353960988,0.01642169998958707,0.003743652735637501
Random,8,-2.2997080250688753,0.3184001718735195,3.075395654673519,0.45222157392473944,0.7756876296046434,0.15459869267943488,0.013498779945075512,0.0013533341145896198
Random,10,-2.780256281402913,0.4403979038511937,3.813748036538109,0.8652786265129941,1.0334917551351956,0.443680506723187,0.014537740033119917,0.0012178675191553683
SA,6,-2.126765912875061,0.3538483421923426,2.6355220293348536,0.3203106997353896,0.5087561164597922,0.11139658353960988,0.026118759997189045,0.005535939028999656
SA,8,-2.2997080250688753,0.3184001718735195,3.075395654673519,0.45222157392473944,0.7756876296046434,0.15459869267943488,0.02175435991957784,0.0015111847905690304
SA,10,-2.796528943705669,0.4255282864842611,3.909126634874837,0.8021682770013528,1.112597691169168,0.4149300772877764,0.022949360217899083,0.0017156119279511627
