method,n_wells,seed,energy,production,interference,runtime_sec,solution
Exact,6,0,-2.394860723149948,3.9966500241934915,0.800894650521772,0.00034580007195472717,010011
QAOA,6,0,0.0,0.0,0.0,13.217394100036472,000000
Random,6,0,-2.394860723149948,3.9966500241934915,0.800894650521772,0.08665929967537522,010011
SA,6,0,-2.394860723149948,3.9966500241934915,0.800894650521772,0.05569119984284043,010011
Exact,6,1,-3.0201441860460676,4.3287478145307485,0.6543018142423407,0.00028769997879862785,110100
QAOA,6,1,-1.32867038066122,1.9647928517840956,0.3180612355614379,10.311646400019526,001010
Random,6,1,-3.0201441860460676,4.3287478145307485,0.6543018142423407,0.09219019999727607,110100
SA,6,1,-3.0201441860460676,4.3287478145307485,0.6543018142423407,0.056320199742913246,110100
Exact,6,2,-2.6786581970248564,3.873021928656159,0.5971818658156514,0.0003748997114598751,011001
QAOA,6,2,0.0,0.0,0.0,12.5981712997891,000000
Random,6,2,-2.6786581970248564,3.873021928656159,0.5971818658156514,0.08687050035223365,011001
SA,6,2,-2.6786581970248564,3.873021928656159,0.5971818658156514,0.06848579971119761,011001
Exact,8,0,-3.156507054132752,5.061323532842222,0.9524082393547348,0.0015921001322567463,11001010
QAOA,8,0,0.0,0.0,0.0,14.56687879981473,00000000
Random,8,0,-3.156507054132752,5.061323532842222,0.9524082393547348,0.08746200008317828,11001010
SA,8,0,-3.156507054132752,5.061323532842222,0.9524082393547348,0.06213060021400452,11001010
Exact,8,1,-2.741752120687235,4.148440941861478,0.7033444105871214,0.0016408995725214481,00010011
QAOA,8,1,-1.6107839801571286,2.4742472478855024,0.4317316338641867,16.237648900132626,00110000
Random,8,1,-2.741752120687235,4.148440941861478,0.7033444105871214,0.08738519996404648,00010011
SA,8,1,-2.741752120687235,4.148440941861478,0.7033444105871214,0.063173099886626,00010011
Exact,8,2,-2.6933284448046937,4.114309434697383,0.7104904949463451,0.0015126001089811325,00101100
QAOA,8,2,0.0,0.0,0.0,15.04090159991756,00000000
Random,8,2,-2.6933284448046937,4.114309434697383,0.7104904949463451,0.08926729997619987,00101100
SA,8,2,-2.6933284448046937,4.114309434697383,0.7104904949463451,0.07127920025959611,00101100
Exact,10,0,-3.8349984219328297,5.622731743881894,0.893866660974532,0.007924700155854225,1000010011
QAOA,10,0,-0.1040647735166001,2.6618302985828755,1.2788827625331376,18.375389899592847,0111000000
Random,10,0,-3.8349984219328297,5.622731743881894,0.893866660974532,0.08888400020077825,1000010011
SA,10,0,-3.8349984219328297,5.622731743881894,0.893866660974532,0.06130889989435673,1000010011
Exact,10,1,-3.067442326684437,4.159742791944209,0.546150232629886,0.006515500135719776,0001011000
QAOA,10,1,-0.3178921168155583,5.0528606106519405,2.367484246918191,17.0329670002684,0010110101
Random,10,1,-3.067442326684437,4.159742791944209,0.546150232629886,0.0909502999857068,0001011000
SA,10,1,-3.067442326684437,4.159742791944209,0.546150232629886,0.06395879993215203,0001011000
Exact,10,2,-2.5623800119512197,3.650859758083976,0.5442398730663784,0.006563500035554171,0011000001
QAOA,10,2,0.0,0.0,0.0,14.324294700287282,0000000000
Random,10,2,-2.558841696975175,3.727647863069181,0.5844030830470033,0.08626729995012283,0010001001
SA,10,2,-2.5623800119512197,3.650859758083976,0.5442398730663784,0.06266830023378134,0011000001
